Constant Volatility,Normal Volatility,Poisson Volatility,Exponential Volatility
0.2122620281167067,0.9247222582214274,0.009771790996353502,5.423586598720403e-56
0.18572826998786285,0.07584940034678911,0.007496903051991188,8.618790538839755e-17
0.16230064812393463,0.032289717455762146,0.702564255626509,2.179221883464857e-09
0.1416477606234845,0.05589799829245434,0.1416477606234845,3.0773702382832883e-05
0.12346872701422917,0.401349994593029,0.003314464100283479,1.4544226924249512e-19
0.10749109826108239,0.1784440238095768,0.10749109826108239,5.4783439961651815e-12
0.0934687989761096,0.030989018126613033,0.8423796232473855,0.0028242593720721743
0.08118012184346424,0.18153125035374895,0.017886840006671956,0.0
0.07042579029568996,0.08401244966352284,0.416704073638531,5.4042045334112126e-55
0.06102710188748928,0.25873543001576316,0.012104821290207068,0.00029317823166147977
0.052824161614517307,0.008869675318187498,0.0005926275228829922,0.12749337490613843
